Tumor,2073671
CD4T,1103426
Bcell,794055
Macrophage,782632
CD8T,550468
Enterocyte,407001
SmoothMuscle,351978
Fibroblast,349834
Endothelial,258384
BloodVesselEndothelial,218715
Astrocyte,218456
Monocyte,171796
LittoralCell,152883
Neutrophil,120397
Goblet,119592
Plasma,119301
Epithelial,111681
Tcell,89435
NK,73483
Myofibroblast,64409
Treg,57668
EVT,55217
LymphaticEndothelial,50402
Dendritic,46312
ICC,26036
Mast,23322
Paneth,18557
Endocrine,13263
NKT,9839
Neuron,5203
Hepatocyte,2151
CollectingDuct,934
AlphaCell,690
BetaCell,420
Podocyte,220
Microglial,185
HSEC,104
CardiacMuscle,89
Glial,85
Thrombocyte,82
Stellate,74
Erythrocyte,37
Mesangial,32
Pericyte,12
Melanocyte,6
Langerhans,4